FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,ecity_nam,x,y
346,eebb7355-c0ee-47e9-8067-a5e16c4363f0,5087,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ameka / Ihotor / Amajim,EBSNKE04,Ezza South,11006,Ebonyi,EB,GRID,Azu Egu Transformer,8.09827499969151,6.18613333298697
347,788abe90-40e7-4254-a8f7-510297399933,5086,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuogudu Akpu 2 / Ijinike Amin,EBSHKW34,Ohaukwu,11012,Ebonyi,EB,GRID,Unnamed Transformer,7.94407499966155,6.50606166681251
348,b71ca876-52d1-4493-a952-07ef51bdda9a,5085,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Uwana A and B,EBSAFK36,Afikpo North,11002,Ebonyi,EB,GRID,Amaokom Transformer,7.93672670037699,5.79557329966809
349,613681be-ff16-47f1-ab1f-4c07fcbccd2a,5084,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuogudu Akpu 2 / Ijinike Amin,EBSHKW34,Ohaukwu,11012,Ebonyi,EB,GRID,Ijinike Transformer,7.94054166676455,6.48749500039401
350,d80c7c59-7d3d-4ccb-abc0-785ab697ae4e,5083,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuagara,EBSHKW28,Ohaukwu,11012,Ebonyi,EB,GRID,Onuorie Transformer,7.9743083326635,6.40453833327751
351,f9ef02de-8be6-466c-8b7d-e66006e89f08,5081,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuogudu Akpu 2 / Ijinike Amin,EBSHKW34,Ohaukwu,11012,Ebonyi,EB,GRID,Oriaja Umuogudu Transformer,7.92183833307269,6.51804333263374
352,1a0576c5-169c-4b6c-a6a0-d0298370efc3,5079,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abakpa,EBSAKL01,Abakaliki,11001,Ebonyi,EB,GRID,Obiri Street Power Installation,8.1170333332218,6.32056999990562
353,2758a74a-142a-4b5f-9a76-87eed30a75f0,5078,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ndemiyi / Nkagbogho,EBSAFK29,Afikpo North,11002,Ebonyi,EB,GRID,Poly Transformer,7.92070169972374,5.79842500041349
354,94f53279-7241-4ed2-984b-54ff411d5ce2,5077,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuogudu Oshia / Oshia Ndienuru,EBSHKW35,Ohaukwu,11012,Ebonyi,EB,GRID,Ndiagu Udu Transformer,7.89997999957734,6.46776333331121
355,fe8cc903-a67f-46e5-8452-0bf8bf1a3735,5076,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abakpa,EBSAKL01,Abakaliki,11001,Ebonyi,EB,GRID,Obiri Street Transformer,8.11730833331296,6.3204699997907
